,incident_month,incident_week,incident_weekday,weekend,part_of_the_day,incident_district,incident_division,precip,visibility,heatindex,season,male_population,female_population,total_population,gender_ration,average_household_size,density_per_kmsq,literacy_rate,religious_institution,playground,park,police_station,school,college,crime
161,2,5,thursday,0,night,dhaka,dhaka,0.0,10,24,winter,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,242,64,murder
162,3,13,sunday,0,night,dhaka,dhaka,10.0,9,33,hot,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,242,64,murder
163,1,1,friday,1,evening,dhaka,dhaka,0.0,10,24,winter,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,242,64,murder
164,1,1,friday,1,evening,dhaka,dhaka,0.0,10,24,winter,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,242,64,murder
165,6,22,sunday,0,night,dhaka,dhaka,11.7,9,38,rainy,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,242,64,murder
166,10,42,monday,0,night,dhaka,dhaka,0.0,10,34,rainy,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,242,64,murder
167,6,23,friday,1,morning,dhaka,dhaka,,10,39,rainy,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,242,64,murder
168,11,44,saturday,1,evening,dhaka,dhaka,17.3,8,26,winter,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,242,64,rape
169,2,7,satturday,1,morning,dhaka,dhaka,0.0,10,25,winter,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,242,64,rape
170,8,33,tuesday,0,night,dhaka,dhaka,2.5,10,37,rainy,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,242,64,rape
171,10,44,monday,0,morning,dhaka,dhaka,1.4,9,29,rainy,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,242,64,rape
172,5,22,thursday,0,morning,dhaka,dhaka,7.3,8,30,hot,738764,647146,1385910,114,3.77,4948,68.0,1118,78,3,6,42,10,rape
173,2,5,monday,0,night,dhaka,dhaka,0.0,10,25,winter,738764,647146,1385910,114,3.77,4948,68.0,1118,78,3,6,42,10,rape
174,3,12,saturday,1,night,dhaka,dhaka,0.6,10,31,hot,738764,647146,1385910,114,3.77,4948,68.0,1118,78,3,6,42,10,rape
175,8,33,thursday,0,night,dhaka,dhaka,7.4,9,35,rainy,738764,647146,1385910,114,3.77,4948,68.0,1118,78,3,6,42,10,rape
176,8,33,tuesday,0,night,dhaka,dhaka,6.5,10,34,rainy,738764,647146,1385910,114,3.77,4948,68.0,1118,78,3,6,42,10,rape
